time,open,high,low,close
2023-10-01T00:00:00Z,65.98,66.1,65.92,66.07
2023-10-01T00:15:00Z,66.06,66.09,66,66.02
2023-10-01T00:30:00Z,66,66.13,65.93,66.11
2023-10-01T00:45:00Z,66.11,66.13,66.04,66.12
2023-10-01T01:00:00Z,66.12,66.13,66.04,66.1
2023-10-01T01:15:00Z,66.1,66.29,66.05,66.26
2023-10-01T01:30:00Z,66.26,66.39,66.24,66.33
2023-10-01T01:45:00Z,66.33,66.33,66.15,66.16
2023-10-01T02:00:00Z,66.16,66.2,66.12,66.13
2023-10-01T02:15:00Z,66.13,66.21,66.02,66.03
2023-10-01T02:30:00Z,66.04,66.04,65.83,65.91
2023-10-01T02:45:00Z,65.92,66.02,65.88,65.95
2023-10-01T03:00:00Z,65.94,65.98,65.84,65.85
2023-10-01T03:15:00Z,65.86,66,65.85,65.98
2023-10-01T03:30:00Z,65.99,65.99,65.92,65.93
2023-10-01T03:45:00Z,65.94,65.98,65.88,65.97
2023-10-01T04:00:00Z,65.96,65.99,65.86,65.89
2023-10-01T04:15:00Z,65.88,65.95,65.88,65.9
2023-10-01T04:30:00Z,65.9,65.91,65.85,65.88
2023-10-01T04:45:00Z,65.88,65.98,65.88,65.97
2023-10-01T05:00:00Z,65.97,66.02,65.95,66
2023-10-01T05:15:00Z,66.01,66.15,65.97,66.12
2023-10-01T05:30:00Z,66.12,66.13,66.03,66.12
2023-10-01T05:45:00Z,66.12,66.15,66.08,66.11
2023-10-01T06:00:00Z,66.13,66.23,66.12,66.22
2023-10-01T06:15:00Z,66.22,66.23,66.07,66.11
2023-10-01T06:30:00Z,66.11,66.19,66.1,66.12
2023-10-01T06:45:00Z,66.11,66.24,66.11,66.22
2023-10-01T07:00:00Z,66.23,66.29,66.22,66.23
2023-10-01T07:15:00Z,66.24,66.24,66.09,66.12
2023-10-01T07:30:00Z,66.12,66.25,66.1,66.17
2023-10-01T07:45:00Z,66.16,66.26,66.15,66.19
2023-10-01T08:00:00Z,66.2,66.2,66.11,66.14
2023-10-01T08:15:00Z,66.15,66.26,66.1,66.24
2023-10-01T08:30:00Z,66.23,66.37,66.23,66.36
2023-10-01T08:45:00Z,66.36,66.39,66.29,66.34
2023-10-01T09:00:00Z,66.34,66.36,66.31,66.34
2023-10-01T09:15:00Z,66.34,66.48,66.32,66.43
2023-10-01T09:30:00Z,66.43,66.49,66.35,66.36
2023-10-01T09:45:00Z,66.36,66.6,66.36,66.58
2023-10-01T10:00:00Z,66.57,67.69,66.57,67.66
2023-10-01T10:15:00Z,67.67,67.7,67.22,67.27
2023-10-01T10:30:00Z,67.26,67.28,67.03,67.08
2023-10-01T10:45:00Z,67.07,67.27,67.03,67.25
2023-10-01T11:00:00Z,67.24,67.28,67.12,67.24
2023-10-01T11:15:00Z,67.24,67.38,67.2,67.35
2023-10-01T11:30:00Z,67.35,67.61,67.35,67.6
2023-10-01T11:45:00Z,67.6,67.65,67.38,67.4
2023-10-01T12:00:00Z,67.41,67.57,67.36,67.53
2023-10-01T12:15:00Z,67.54,67.56,67.32,67.42
2023-10-01T12:30:00Z,67.41,67.63,67.33,67.56
2023-10-01T12:45:00Z,67.56,67.76,67.52,67.52
2023-10-01T13:00:00Z,67.52,67.54,67.22,67.22
2023-10-01T13:15:00Z,67.23,67.32,67.1,67.15
2023-10-01T13:30:00Z,67.16,67.16,66.99,67.02
2023-10-01T13:45:00Z,67.03,67.19,66.98,67.12
2023-10-01T14:00:00Z,67.11,67.17,67.01,67.17
2023-10-01T14:15:00Z,67.16,67.32,67.12,67.25
2023-10-01T14:30:00Z,67.25,67.25,66.78,66.85
2023-10-01T14:45:00Z,66.84,66.95,66.74,66.82
2023-10-01T15:00:00Z,66.81,66.94,66.78,66.89
2023-10-01T15:15:00Z,66.9,66.96,66.7,66.76
2023-10-01T15:30:00Z,66.76,66.87,66.74,66.82
2023-10-01T15:45:00Z,66.82,66.91,66.79,66.89
2023-10-01T16:00:00Z,66.89,66.89,66.7,66.81
2023-10-01T16:15:00Z,66.82,66.84,66.66,66.75
2023-10-01T16:30:00Z,66.76,66.85,66.58,66.69
2023-10-01T16:45:00Z,66.68,66.85,66.64,66.67
2023-10-01T17:00:00Z,66.68,66.8,66.63,66.78
2023-10-01T17:15:00Z,66.78,66.82,66.62,66.63
2023-10-01T17:30:00Z,66.63,66.67,66.36,66.37
2023-10-01T17:45:00Z,66.38,66.43,66.19,66.24
2023-10-01T18:00:00Z,66.24,66.42,66.21,66.4
2023-10-01T18:15:00Z,66.41,66.5,66.35,66.46
2023-10-01T18:30:00Z,66.45,66.55,66.44,66.47
2023-10-01T18:45:00Z,66.48,66.48,66.36,66.43
2023-10-01T19:00:00Z,66.42,66.47,66.33,66.39
2023-10-01T19:15:00Z,66.4,66.51,66.39,66.5
2023-10-01T19:30:00Z,66.51,66.52,66.44,66.44
2023-10-01T19:45:00Z,66.45,66.5,66.42,66.47
2023-10-01T20:00:00Z,66.47,66.58,66.26,66.53
2023-10-01T20:15:00Z,66.52,66.58,66.43,66.44
2023-10-01T20:30:00Z,66.43,66.44,66.25,66.38
2023-10-01T20:45:00Z,66.38,66.46,66.36,66.44
2023-10-01T21:00:00Z,66.44,66.53,66.4,66.46
2023-10-01T21:15:00Z,66.45,66.52,66.43,66.51
2023-10-01T21:30:00Z,66.51,66.6,66.51,66.6
2023-10-01T21:45:00Z,66.6,66.65,66.58,66.64
2023-10-01T22:00:00Z,66.64,66.8,66.61,66.78
2023-10-01T22:15:00Z,66.78,68.43,66.78,68.14
2023-10-01T22:30:00Z,68.14,68.85,68.03,68.3
2023-10-01T22:45:00Z,68.32,68.69,68.22,68.65
2023-10-01T23:00:00Z,68.65,68.73,68.37,68.43
2023-10-01T23:15:00Z,68.43,68.56,67.97,68.07
2023-10-01T23:30:00Z,68.07,68.32,68.01,68.28
2023-10-01T23:45:00Z,68.28,68.37,68.13,68.19
2023-10-02T00:00:00Z,68.19,68.42,68.12,68.12
2023-10-02T00:15:00Z,68.12,68.12,67.83,67.95
2023-10-02T00:30:00Z,67.95,68.09,67.8,68.09
2023-10-02T00:45:00Z,68.08,68.15,67.87,67.98
2023-10-02T01:00:00Z,67.99,68.1,67.8,67.82
2023-10-02T01:15:00Z,67.82,67.97,67.8,67.87
2023-10-02T01:30:00Z,67.86,68.09,67.86,68.05
2023-10-02T01:45:00Z,68.05,68.11,67.98,68.05
2023-10-02T02:00:00Z,68.06,68.11,68,68.05
2023-10-02T02:15:00Z,68.04,68.09,67.92,68
2023-10-02T02:30:00Z,68,68.04,67.9,67.94
2023-10-02T02:45:00Z,67.94,67.99,67.9,67.92
2023-10-02T03:00:00Z,67.92,68.04,67.9,67.9
2023-10-02T03:15:00Z,67.91,67.98,67.88,67.93
2023-10-02T03:30:00Z,67.93,68.16,67.86,68.04
2023-10-02T03:45:00Z,68.03,68.04,67.72,67.83
2023-10-02T04:00:00Z,67.83,67.88,67.7,67.7
2023-10-02T04:15:00Z,67.7,67.74,67.64,67.67
2023-10-02T04:30:00Z,67.67,67.69,67.44,67.48
2023-10-02T04:45:00Z,67.48,67.61,67.47,67.48
2023-10-02T05:00:00Z,67.48,67.5,67.37,67.4
2023-10-02T05:15:00Z,67.39,67.61,67.39,67.54
2023-10-02T05:30:00Z,67.54,67.55,67.14,67.26
2023-10-02T05:45:00Z,67.26,67.34,67.18,67.33
2023-10-02T06:00:00Z,67.33,67.46,67.28,67.41
2023-10-02T06:15:00Z,67.4,67.56,67.4,67.55
2023-10-02T06:30:00Z,67.56,67.64,67.53,67.59
2023-10-02T06:45:00Z,67.59,67.65,67.53,67.58
2023-10-02T07:00:00Z,67.58,67.69,67.52,67.52
2023-10-02T07:15:00Z,67.52,67.7,67.49,67.63
2023-10-02T07:30:00Z,67.62,67.94,67.61,67.76
2023-10-02T07:45:00Z,67.77,68.01,67.65,67.75
2023-10-02T08:00:00Z,67.76,67.89,67.59,67.78
2023-10-02T08:15:00Z,67.79,68.06,67.76,67.91
2023-10-02T08:30:00Z,67.92,68.07,67.77,67.8
2023-10-02T08:45:00Z,67.8,67.93,67.68,67.79
2023-10-02T09:00:00Z,67.79,67.84,67.63,67.69
2023-10-02T09:15:00Z,67.69,67.72,67.5,67.69
2023-10-02T09:30:00Z,67.69,67.77,67.63,67.64
2023-10-02T09:45:00Z,67.64,67.73,67.64,67.72
2023-10-02T10:00:00Z,67.72,67.73,67.64,67.67
2023-10-02T10:15:00Z,67.66,67.79,67.64,67.76
2023-10-02T10:30:00Z,67.75,67.83,67.68,67.81
2023-10-02T10:45:00Z,67.82,67.87,67.75,67.77
2023-10-02T11:00:00Z,67.77,67.9,67.65,67.69
2023-10-02T11:15:00Z,67.69,67.88,67.68,67.85
2023-10-02T11:30:00Z,67.85,67.86,67.55,67.57
2023-10-02T11:45:00Z,67.57,67.65,67.47,67.59
2023-10-02T12:00:00Z,67.59,67.64,67.46,67.6
2023-10-02T12:15:00Z,67.62,67.72,67.5,67.72
2023-10-02T12:30:00Z,67.72,67.8,67.67,67.79
2023-10-02T12:45:00Z,67.8,67.82,67.74,67.74
2023-10-02T13:00:00Z,67.74,67.75,67.58,67.61
2023-10-02T13:15:00Z,67.61,67.67,67.44,67.48
2023-10-02T13:30:00Z,67.47,67.66,67.3,67.57
2023-10-02T13:45:00Z,67.57,67.67,67.39,67.67
2023-10-02T14:00:00Z,67.68,67.71,67.08,67.1
2023-10-02T14:15:00Z,67.11,67.33,66.97,67.2
2023-10-02T14:30:00Z,67.21,67.44,67.17,67.35
2023-10-02T14:45:00Z,67.35,67.47,67.16,67.43
2023-10-02T15:00:00Z,67.43,67.57,67.31,67.37
2023-10-02T15:15:00Z,67.39,67.48,67.22,67.42
2023-10-02T15:30:00Z,67.42,67.44,67.15,67.17
2023-10-02T15:45:00Z,67.18,67.18,66.44,66.68
2023-10-02T16:00:00Z,66.67,66.82,66.32,66.8
2023-10-02T16:15:00Z,66.81,66.96,66.66,66.94
2023-10-02T16:30:00Z,66.95,66.95,66.75,66.86
2023-10-02T16:45:00Z,66.86,66.98,66.71,66.83
2023-10-02T17:00:00Z,66.83,66.87,66.62,66.75
2023-10-02T17:15:00Z,66.74,66.93,66.73,66.92
2023-10-02T17:30:00Z,66.92,67.03,66.9,67.01
2023-10-02T17:45:00Z,67.02,67.17,67,67.13
2023-10-02T18:00:00Z,67.14,67.19,66.9,67.12
2023-10-02T18:15:00Z,67.11,67.12,66.87,66.9
2023-10-02T18:30:00Z,66.9,66.95,65.11,65.69
2023-10-02T18:45:00Z,65.69,66.09,65.57,65.59
2023-10-02T19:00:00Z,65.59,65.73,65.2,65.67
2023-10-02T19:15:00Z,65.67,65.82,65.59,65.74
2023-10-02T19:30:00Z,65.75,65.91,65.74,65.9
2023-10-02T19:45:00Z,65.9,66.28,65.89,66.23
2023-10-02T20:00:00Z,66.26,66.26,65.98,66.02
2023-10-02T20:15:00Z,66.02,66.11,65.91,66.02
2023-10-02T20:30:00Z,66.03,66.07,65.95,66.02
2023-10-02T20:45:00Z,66.02,66.09,65.96,65.98
2023-10-02T21:00:00Z,65.98,66.05,65.83,65.88
2023-10-02T21:15:00Z,65.87,66.07,65.85,66.06
2023-10-02T21:30:00Z,66.06,66.06,65.36,65.5
2023-10-02T21:45:00Z,65.5,65.73,65.24,65.63
2023-10-02T22:00:00Z,65.62,65.66,65.35,65.6
2023-10-02T22:15:00Z,65.59,65.65,65.43,65.65
2023-10-02T22:30:00Z,65.65,65.74,65.6,65.71
2023-10-02T22:45:00Z,65.71,65.78,65.6,65.77
2023-10-02T23:00:00Z,65.77,65.86,65.71,65.74
