time,open,high,low,close
2023-10-01T00:00:00Z,9.237,9.24,9.209,9.235
2023-10-01T00:15:00Z,9.236,9.248,9.234,9.239
2023-10-01T00:30:00Z,9.238,9.264,9.218,9.263
2023-10-01T00:45:00Z,9.264,9.282,9.259,9.281
2023-10-01T01:00:00Z,9.28,9.288,9.252,9.261
2023-10-01T01:15:00Z,9.26,9.3,9.258,9.296
2023-10-01T01:30:00Z,9.296,9.298,9.285,9.297
2023-10-01T01:45:00Z,9.297,9.306,9.294,9.301
2023-10-01T02:00:00Z,9.301,9.314,9.289,9.297
2023-10-01T02:15:00Z,9.298,9.308,9.285,9.285
2023-10-01T02:30:00Z,9.286,9.293,9.252,9.291
2023-10-01T02:45:00Z,9.292,9.31,9.282,9.295
2023-10-01T03:00:00Z,9.295,9.306,9.28,9.29
2023-10-01T03:15:00Z,9.291,9.331,9.29,9.329
2023-10-01T03:30:00Z,9.329,9.346,9.321,9.335
2023-10-01T03:45:00Z,9.335,9.343,9.325,9.33
2023-10-01T04:00:00Z,9.331,9.349,9.313,9.316
2023-10-01T04:15:00Z,9.316,9.337,9.31,9.334
2023-10-01T04:30:00Z,9.334,9.334,9.304,9.309
2023-10-01T04:45:00Z,9.31,9.322,9.31,9.319
2023-10-01T05:00:00Z,9.319,9.333,9.313,9.329
2023-10-01T05:15:00Z,9.329,9.36,9.322,9.359
2023-10-01T05:30:00Z,9.36,9.4,9.356,9.396
2023-10-01T05:45:00Z,9.395,9.399,9.368,9.383
2023-10-01T06:00:00Z,9.382,9.455,9.38,9.444
2023-10-01T06:15:00Z,9.444,9.473,9.434,9.471
2023-10-01T06:30:00Z,9.472,9.478,9.433,9.447
2023-10-01T06:45:00Z,9.447,9.469,9.439,9.447
2023-10-01T07:00:00Z,9.447,9.477,9.447,9.457
2023-10-01T07:15:00Z,9.457,9.458,9.416,9.422
2023-10-01T07:30:00Z,9.422,9.451,9.416,9.437
2023-10-01T07:45:00Z,9.438,9.465,9.435,9.452
2023-10-01T08:00:00Z,9.451,9.477,9.446,9.462
2023-10-01T08:15:00Z,9.462,9.465,9.43,9.435
2023-10-01T08:30:00Z,9.435,9.463,9.435,9.461
