time,open,high,low,close
1692586800,6.21,6.22,6.199,6.207
1692590400,6.208,6.213,6.177,6.187
1692594000,6.187,6.244,6.184,6.229
1692597600,6.229,6.23,6.179,6.184
1692601200,6.184,6.196,6.171,6.191
1692604800,6.186,6.222,6.18,6.196
1692608400,6.192,6.215,6.174,6.187
1692612000,6.185,6.187,6.126,6.14
1692615600,6.14,6.215,6.136,6.211
1692619200,6.212,6.234,6.154,6.159
1692622800,6.159,6.219,6.138,6.214
1692626400,6.216,6.235,6.184,6.19
1692630000,6.19,6.199,6.002,6.104
1692633600,6.104,6.131,6.083,6.1
1692637200,6.1,6.161,6.099,6.152
1692640800,6.157,6.17,6.14,6.144
1692644400,6.145,6.202,6.142,6.185
1692648000,6.186,6.202,6.164,6.167
1692651600,6.167,6.207,6.149,6.204
1692655200,6.205,6.212,6.188,6.199
1692658800,6.198,6.201,6.169,6.174
1692662400,6.175,6.184,6.156,6.16
1692666000,6.16,6.171,6.15,6.156
1692669600,6.154,6.182,6.154,6.162
1692673200,6.16,6.166,6.139,6.142
1692676800,6.141,6.149,6.122,6.137
1692680400,6.137,6.161,6.129,6.157
1692684000,6.157,6.179,6.147,6.169
1692687600,6.17,6.199,6.163,6.198
1692691200,6.198,6.216,6.184,6.196
1692694800,6.192,6.241,6.192,6.21
1692698400,6.21,6.232,6.208,6.216
1692702000,6.217,6.223,6.185,6.199
1692705600,6.198,6.255,6.189,6.215
1692709200,6.215,6.221,6.148,6.153
1692712800,6.154,6.173,6.129,6.151
1692716400,6.151,6.183,6.112,6.122
1692720000,6.122,6.135,6.048,6.119
1692723600,6.121,6.125,5.985,6.008
1692727200,6.007,6.089,5.962,6.073
1692730800,6.071,6.099,6.018,6.02
1692734400,6.02,6.068,6.02,6.067
1692738000,6.066,6.071,5.865,5.959
1692741600,5.959,6.071,5.956,6.052
1692745200,6.053,6.148,6.052,6.112
1692748800,6.116,6.159,6.103,6.135
1692752400,6.135,6.152,6.11,6.143
1692756000,6.143,6.169,6.142,6.142
1692759600,6.143,6.158,6.117,6.121
1692763200,6.122,6.16,6.12,6.15
1692766800,6.15,6.156,6.121,6.153
1692770400,6.152,6.217,6.151,6.187
1692774000,6.188,6.228,6.182,6.215
1692777600,6.213,6.241,6.212,6.236
1692781200,6.236,6.311,6.217,6.264
1692784800,6.264,6.27,6.229,6.237
1692788400,6.237,6.258,6.23,6.245
1692792000,6.245,6.263,6.211,6.212
1692795600,6.213,6.305,6.199,6.298
1692799200,6.3,6.363,6.289,6.34
1692802800,6.339,6.374,6.339,6.356
1692806400,6.356,6.427,6.338,6.397
1692810000,6.398,6.435,6.374,6.383
1692813600,6.384,6.399,6.371,6.381
1692817200,6.38,6.432,6.357,6.402
1692820800,6.4,6.412,6.369,6.369
1692824400,6.37,6.37,6.269,6.305
1692828000,6.304,6.335,6.298,6.329
1692831600,6.329,6.353,6.324,6.352
1692835200,6.351,6.368,6.337,6.345
1692838800,6.343,6.347,6.315,6.323
1692842400,6.322,6.334,6.318,6.33
1692846000,6.331,6.348,6.326,6.341
1692849600,6.342,6.343,6.32,6.335
1692853200,6.335,6.338,6.301,6.304
1692856800,6.304,6.341,6.286,6.325
1692860400,6.326,6.327,6.303,6.312
1692864000,6.313,6.319,6.288,6.306
1692867600,6.304,6.321,6.284,6.284
1692871200,6.285,6.301,6.269,6.301
1692874800,6.301,6.322,6.285,6.294
1692878400,6.294,6.294,6.256,6.261
1692882000,6.261,6.264,6.221,6.246
1692885600,6.248,6.249,6.154,6.171
1692889200,6.17,6.189,6.118,6.119
1692892800,6.119,6.138,6.083,6.114
1692896400,6.115,6.118,6.036,6.084
1692900000,6.083,6.085,6.051,6.062
1692903600,6.061,6.1,6.056,6.065
1692907200,6.066,6.073,5.984,6.022
1692910800,6.021,6.059,6.015,6.043
1692914400,6.043,6.062,6.031,6.058
1692918000,6.057,6.093,6.042,6.084
1692921600,6.084,6.085,6.032,6.035
1692925200,6.037,6.058,6.019,6.058
1692928800,6.057,6.081,6.026,6.031
1692932400,6.031,6.039,5.931,6.021
1692936000,6.022,6.024,5.98,6.011
1692939600,6.011,6.037,6.004,6.02
1692943200,6.02,6.037,5.977,5.99
1692946800,5.989,5.997,5.962,5.97
1692950400,5.971,6.013,5.966,5.978
1692954000,5.978,5.994,5.962,5.987
1692957600,5.987,5.988,5.952,5.96
1692961200,5.961,5.999,5.958,5.981
1692964800,5.982,5.996,5.972,5.973
1692968400,5.973,6.024,5.973,5.975
1692972000,5.975,6.055,5.913,5.932
1692975600,5.932,6.001,5.915,5.957
1692979200,5.955,5.986,5.934,5.943
1692982800,5.944,5.967,5.928,5.954
1692986400,5.954,6.006,5.943,6.004
1692990000,6.003,6.007,5.96,5.977
1692993600,5.976,5.976,5.949,5.968
1692997200,5.969,5.986,5.954,5.984
1693000800,5.983,6.004,5.966,6
1693004400,6,6.022,5.993,6.014
1693008000,6.014,6.02,5.989,6.019
1693011600,6.019,6.03,6.011,6.012
1693015200,6.013,6.023,6.001,6.016
1693018800,6.017,6.042,6.017,6.021
1693022400,6.023,6.043,6.017,6.034
