time,open,high,low,close
2023-10-01T00:00:00Z,4.101,4.108,4.098,4.106
2023-10-01T00:15:00Z,4.106,4.11,4.105,4.108
2023-10-01T00:30:00Z,4.107,4.113,4.1,4.11
2023-10-01T00:45:00Z,4.11,4.114,4.109,4.114
2023-10-01T01:00:00Z,4.113,4.116,4.107,4.109
2023-10-01T01:15:00Z,4.109,4.118,4.108,4.117
2023-10-01T01:30:00Z,4.117,4.119,4.114,4.117
2023-10-01T01:45:00Z,4.118,4.12,4.115,4.115
2023-10-01T02:00:00Z,4.116,4.12,4.114,4.114
2023-10-01T02:15:00Z,4.115,4.12,4.111,4.111
2023-10-01T02:30:00Z,4.111,4.112,4.101,4.108
2023-10-01T02:45:00Z,4.109,4.115,4.108,4.11
2023-10-01T03:00:00Z,4.111,4.112,4.106,4.107
2023-10-01T03:15:00Z,4.106,4.112,4.106,4.111
2023-10-01T03:30:00Z,4.11,4.113,4.109,4.111
2023-10-01T03:45:00Z,4.111,4.116,4.111,4.114
2023-10-01T04:00:00Z,4.114,4.116,4.108,4.108
2023-10-01T04:15:00Z,4.109,4.112,4.107,4.11
2023-10-01T04:30:00Z,4.11,4.111,4.106,4.108
2023-10-01T04:45:00Z,4.108,4.117,4.108,4.114
2023-10-01T05:00:00Z,4.115,4.118,4.113,4.118
2023-10-01T05:15:00Z,4.118,4.127,4.116,4.125
2023-10-01T05:30:00Z,4.125,4.14,4.123,4.137
2023-10-01T05:45:00Z,4.137,4.144,4.136,4.142
2023-10-01T06:00:00Z,4.142,4.156,4.142,4.15
2023-10-01T06:15:00Z,4.15,4.15,4.138,4.144
2023-10-01T06:30:00Z,4.145,4.15,4.141,4.143
2023-10-01T06:45:00Z,4.142,4.147,4.141,4.145
2023-10-01T07:00:00Z,4.145,4.145,4.142,4.144
2023-10-01T07:15:00Z,4.144,4.145,4.128,4.134
2023-10-01T07:30:00Z,4.133,4.139,4.13,4.135
2023-10-01T07:45:00Z,4.135,4.14,4.134,4.135
2023-10-01T08:00:00Z,4.136,4.137,4.132,4.133
2023-10-01T08:15:00Z,4.133,4.135,4.129,4.134
2023-10-01T08:30:00Z,4.135,4.141,4.133,4.14
2023-10-01T08:45:00Z,4.141,4.145,4.14,4.143
2023-10-01T09:00:00Z,4.143,4.148,4.142,4.146
2023-10-01T09:15:00Z,4.147,4.16,4.145,4.157
2023-10-01T09:30:00Z,4.157,4.162,4.149,4.154
2023-10-01T09:45:00Z,4.153,4.171,4.153,4.168
2023-10-01T10:00:00Z,4.167,4.21,4.167,4.195
2023-10-01T10:15:00Z,4.196,4.199,4.178,4.187
2023-10-01T10:30:00Z,4.187,4.187,4.172,4.179
2023-10-01T10:45:00Z,4.179,4.187,4.176,4.184
2023-10-01T11:00:00Z,4.185,4.186,4.173,4.18
2023-10-01T11:15:00Z,4.181,4.193,4.177,4.192
2023-10-01T11:30:00Z,4.193,4.201,4.192,4.199
2023-10-01T11:45:00Z,4.2,4.201,4.188,4.198
2023-10-01T12:00:00Z,4.198,4.199,4.185,4.188
2023-10-01T12:15:00Z,4.188,4.195,4.182,4.192
2023-10-01T12:30:00Z,4.192,4.199,4.187,4.197
2023-10-01T12:45:00Z,4.196,4.2,4.191,4.194
2023-10-01T13:00:00Z,4.194,4.197,4.186,4.19
2023-10-01T13:15:00Z,4.189,4.194,4.188,4.194
2023-10-01T13:30:00Z,4.194,4.197,4.19,4.197
2023-10-01T13:45:00Z,4.197,4.203,4.193,4.199
2023-10-01T14:00:00Z,4.199,4.207,4.199,4.207
2023-10-01T14:15:00Z,4.206,4.212,4.205,4.208
2023-10-01T14:30:00Z,4.207,4.208,4.18,4.187
2023-10-01T14:45:00Z,4.186,4.194,4.178,4.181
2023-10-01T15:00:00Z,4.181,4.19,4.178,4.187
2023-10-01T15:15:00Z,4.187,4.187,4.178,4.183
2023-10-01T15:30:00Z,4.184,4.192,4.182,4.186
2023-10-01T15:45:00Z,4.186,4.188,4.184,4.188
2023-10-01T16:00:00Z,4.189,4.19,4.182,4.188
2023-10-01T16:15:00Z,4.188,4.188,4.18,4.184
2023-10-01T16:30:00Z,4.184,4.188,4.173,4.179
2023-10-01T16:45:00Z,4.18,4.188,4.176,4.176
2023-10-01T17:00:00Z,4.177,4.186,4.176,4.184
2023-10-01T17:15:00Z,4.183,4.186,4.174,4.178
2023-10-01T17:30:00Z,4.177,4.179,4.159,4.161
2023-10-01T17:45:00Z,4.16,4.17,4.153,4.16
2023-10-01T18:00:00Z,4.16,4.175,4.156,4.17
2023-10-01T18:15:00Z,4.17,4.178,4.169,4.175
2023-10-01T18:30:00Z,4.176,4.185,4.175,4.184
2023-10-01T18:45:00Z,4.184,4.189,4.183,4.187
2023-10-01T19:00:00Z,4.186,4.191,4.182,4.187
2023-10-01T19:15:00Z,4.186,4.192,4.185,4.189
2023-10-01T19:30:00Z,4.19,4.19,4.188,4.189
2023-10-01T19:45:00Z,4.189,4.193,4.186,4.193
2023-10-01T20:00:00Z,4.193,4.21,4.182,4.206
2023-10-01T20:15:00Z,4.205,4.209,4.2,4.2
2023-10-01T20:30:00Z,4.199,4.2,4.189,4.2
2023-10-01T20:45:00Z,4.199,4.204,4.194,4.2
2023-10-01T21:00:00Z,4.2,4.207,4.195,4.198
2023-10-01T21:15:00Z,4.197,4.201,4.196,4.197
2023-10-01T21:30:00Z,4.198,4.199,4.19,4.194
2023-10-01T21:45:00Z,4.193,4.199,4.192,4.198
2023-10-01T22:00:00Z,4.197,4.204,4.192,4.203
2023-10-01T22:15:00Z,4.202,4.279,4.202,4.261
2023-10-01T22:30:00Z,4.262,4.287,4.251,4.263
2023-10-01T22:45:00Z,4.263,4.276,4.255,4.273
2023-10-01T23:00:00Z,4.274,4.277,4.256,4.258
2023-10-01T23:15:00Z,4.259,4.266,4.242,4.246
2023-10-01T23:30:00Z,4.246,4.259,4.237,4.259
2023-10-01T23:45:00Z,4.259,4.264,4.254,4.261
2023-10-02T00:00:00Z,4.261,4.27,4.249,4.252
2023-10-02T00:15:00Z,4.252,4.254,4.239,4.25
2023-10-02T00:30:00Z,4.251,4.253,4.241,4.253
2023-10-02T00:45:00Z,4.252,4.256,4.238,4.243
