time,open,high,low,close
2023-10-01T00:00:00Z,8.184,8.191,8.154,8.181
2023-10-01T00:15:00Z,8.181,8.229,8.181,8.226
2023-10-01T00:30:00Z,8.225,8.256,8.198,8.215
2023-10-01T00:45:00Z,8.214,8.248,8.213,8.238
2023-10-01T01:00:00Z,8.238,8.24,8.188,8.195
2023-10-01T01:15:00Z,8.195,8.201,8.169,8.179
2023-10-01T01:30:00Z,8.179,8.197,8.163,8.178
2023-10-01T01:45:00Z,8.179,8.183,8.157,8.157
2023-10-01T02:00:00Z,8.157,8.169,8.136,8.142
2023-10-01T02:15:00Z,8.142,8.148,8.132,8.132
2023-10-01T02:30:00Z,8.132,8.137,8.107,8.118
2023-10-01T02:45:00Z,8.118,8.149,8.115,8.13
2023-10-01T03:00:00Z,8.131,8.134,8.113,8.117
2023-10-01T03:15:00Z,8.117,8.145,8.116,8.14
2023-10-01T03:30:00Z,8.14,8.149,8.122,8.143
2023-10-01T03:45:00Z,8.143,8.166,8.141,8.159
2023-10-01T04:00:00Z,8.159,8.167,8.132,8.132
2023-10-01T04:15:00Z,8.132,8.144,8.123,8.127
2023-10-01T04:30:00Z,8.127,8.127,8.11,8.116
2023-10-01T04:45:00Z,8.116,8.128,8.11,8.121
2023-10-01T05:00:00Z,8.12,8.135,8.111,8.116
2023-10-01T05:15:00Z,8.116,8.142,8.113,8.142
2023-10-01T05:30:00Z,8.142,8.142,8.116,8.125
2023-10-01T05:45:00Z,8.125,8.128,8.084,8.096
2023-10-01T06:00:00Z,8.096,8.107,8.092,8.105
2023-10-01T06:15:00Z,8.104,8.112,8.096,8.11
2023-10-01T06:30:00Z,8.11,8.131,8.108,8.123
2023-10-01T06:45:00Z,8.123,8.134,8.103,8.106
2023-10-01T07:00:00Z,8.107,8.108,8.054,8.072
2023-10-01T07:15:00Z,8.073,8.075,8.04,8.045
2023-10-01T07:30:00Z,8.044,8.072,8.033,8.051
2023-10-01T07:45:00Z,8.051,8.065,8.048,8.057
2023-10-01T08:00:00Z,8.058,8.072,8.035,8.064
2023-10-01T08:15:00Z,8.063,8.077,8.05,8.064
2023-10-01T08:30:00Z,8.064,8.07,8.053,8.068
2023-10-01T08:45:00Z,8.067,8.084,8.057,8.078
2023-10-01T09:00:00Z,8.077,8.094,8.073,8.081
2023-10-01T09:15:00Z,8.082,8.092,8.06,8.083
2023-10-01T09:30:00Z,8.082,8.092,8.066,8.087
2023-10-01T09:45:00Z,8.087,8.13,8.087,8.114
2023-10-01T10:00:00Z,8.114,8.223,8.11,8.198
2023-10-01T10:15:00Z,8.198,8.202,8.151,8.166
2023-10-01T10:30:00Z,8.167,8.178,8.135,8.17
2023-10-01T10:45:00Z,8.17,8.196,8.164,8.187
2023-10-01T11:00:00Z,8.187,8.188,8.13,8.145
2023-10-01T11:15:00Z,8.145,8.159,8.132,8.138
2023-10-01T11:30:00Z,8.138,8.158,8.132,8.151
2023-10-01T11:45:00Z,8.15,8.15,8.114,8.12
2023-10-01T12:00:00Z,8.121,8.124,8.082,8.093
2023-10-01T12:15:00Z,8.093,8.116,8.073,8.104
2023-10-01T12:30:00Z,8.104,8.126,8.094,8.095
2023-10-01T12:45:00Z,8.095,8.12,8.091,8.116
2023-10-01T13:00:00Z,8.116,8.13,8.04,8.044
2023-10-01T13:15:00Z,8.044,8.075,8.044,8.065
2023-10-01T13:30:00Z,8.066,8.073,8.04,8.071
2023-10-01T13:45:00Z,8.071,8.084,8.057,8.065
2023-10-01T14:00:00Z,8.064,8.092,8.055,8.085
2023-10-01T14:15:00Z,8.086,8.106,8.081,8.105
2023-10-01T14:30:00Z,8.104,8.105,8.016,8.025
2023-10-01T14:45:00Z,8.025,8.046,7.952,7.994
2023-10-01T15:00:00Z,7.994,8.004,7.96,7.987
2023-10-01T15:15:00Z,7.988,8.013,7.961,8.013
2023-10-01T15:30:00Z,8.012,8.032,7.992,8.018
2023-10-01T15:45:00Z,8.018,8.02,7.983,8.01
2023-10-01T16:00:00Z,8.011,8.013,7.96,7.986
2023-10-01T16:15:00Z,7.985,8.012,7.955,7.995
2023-10-01T16:30:00Z,7.995,7.995,7.908,7.921
2023-10-01T16:45:00Z,7.922,7.962,7.912,7.937
2023-10-01T17:00:00Z,7.937,7.954,7.912,7.943
2023-10-01T17:15:00Z,7.943,7.947,7.895,7.898
2023-10-01T17:30:00Z,7.898,7.9,7.783,7.8
2023-10-01T17:45:00Z,7.8,7.845,7.772,7.817
2023-10-01T18:00:00Z,7.817,7.859,7.812,7.853
2023-10-01T18:15:00Z,7.853,7.885,7.839,7.862
2023-10-01T18:30:00Z,7.862,7.904,7.862,7.882
2023-10-01T18:45:00Z,7.881,7.886,7.844,7.859
2023-10-01T19:00:00Z,7.86,7.88,7.841,7.864
2023-10-01T19:15:00Z,7.864,7.886,7.862,7.866
2023-10-01T19:30:00Z,7.866,7.887,7.853,7.855
2023-10-01T19:45:00Z,7.854,7.86,7.835,7.837
2023-10-01T20:00:00Z,7.838,7.905,7.81,7.898
2023-10-01T20:15:00Z,7.898,7.903,7.841,7.846
2023-10-01T20:30:00Z,7.847,7.848,7.779,7.78
2023-10-01T20:45:00Z,7.78,7.81,7.779,7.793
2023-10-01T21:00:00Z,7.793,7.831,7.787,7.811
2023-10-01T21:15:00Z,7.81,7.833,7.795,7.826
2023-10-01T21:30:00Z,7.826,7.842,7.81,7.839
2023-10-01T21:45:00Z,7.839,7.841,7.796,7.835
2023-10-01T22:00:00Z,7.835,7.866,7.824,7.864
2023-10-01T22:15:00Z,7.865,8.068,7.864,7.975
2023-10-01T22:30:00Z,7.975,8.07,7.967,8.019
2023-10-01T22:45:00Z,8.019,8.085,7.998,8.079
2023-10-01T23:00:00Z,8.079,8.126,8.058,8.112
2023-10-01T23:15:00Z,8.112,8.146,8.046,8.055
2023-10-01T23:30:00Z,8.056,8.1,8.024,8.04
2023-10-01T23:45:00Z,8.041,8.051,8.023,8.049
2023-10-02T00:00:00Z,8.049,8.096,7.971,7.98
2023-10-02T00:15:00Z,7.981,7.995,7.925,7.952
2023-10-02T00:30:00Z,7.951,7.972,7.94,7.97
2023-10-02T00:45:00Z,7.969,7.973,7.924,7.927
2023-10-02T01:00:00Z,7.927,7.955,7.883,7.888
2023-10-02T01:15:00Z,7.888,7.933,7.882,7.917
2023-10-02T01:30:00Z,7.917,7.939,7.915,7.936
2023-10-02T01:45:00Z,7.936,7.944,7.905,7.923
2023-10-02T02:00:00Z,7.923,7.927,7.907,7.912
2023-10-02T02:15:00Z,7.913,7.928,7.895,7.902
2023-10-02T02:30:00Z,7.903,7.907,7.863,7.882
2023-10-02T02:45:00Z,7.882,7.912,7.866,7.873
2023-10-02T03:00:00Z,7.873,7.882,7.852,7.878
2023-10-02T03:15:00Z,7.878,7.917,7.876,7.909
2023-10-02T03:30:00Z,7.909,7.949,7.894,7.925
2023-10-02T03:45:00Z,7.924,7.931,7.872,7.877
2023-10-02T04:00:00Z,7.876,7.895,7.84,7.845
2023-10-02T04:15:00Z,7.845,7.868,7.845,7.863
2023-10-02T04:30:00Z,7.862,7.872,7.851,7.858
2023-10-02T04:45:00Z,7.858,7.882,7.855,7.857
2023-10-02T05:00:00Z,7.857,7.886,7.852,7.882
2023-10-02T05:15:00Z,7.881,7.925,7.881,7.92
2023-10-02T05:30:00Z,7.92,7.923,7.848,7.87
2023-10-02T05:45:00Z,7.87,7.925,7.87,7.917
2023-10-02T06:00:00Z,7.917,7.964,7.91,7.941
