time,open,high,low,close
1700870400,70.72,70.91,70.48,70.85
1700874000,70.85,72.5,70.85,71.8
1700877600,71.8,71.85,71.45,71.71
1700881200,71.71,71.9,71.41,71.47
1700884800,71.47,71.57,71.31,71.49
1700888400,71.48,71.54,71.27,71.31
1700892000,71.31,71.38,71.25,71.33
1700895600,71.33,71.42,71.2,71.41
1700899200,71.41,71.57,71.33,71.33
1700902800,71.33,71.4,71.12,71.21
1700906400,71.21,71.22,70.89,71.04
1700910000,71.05,71.25,70.72,70.94
1700913600,70.93,71.15,70.86,71.15
1700917200,71.15,71.16,70.89,71.07
1700920800,71.08,71.13,70.9,71.11
1700924400,71.11,71.65,71.08,71.56
1700928000,71.56,71.83,71.41,71.48
1700931600,71.49,71.69,71.45,71.58
1700935200,71.58,71.68,71.47,71.52
1700938800,71.52,71.63,71.45,71.58
1700942400,71.59,71.72,71.29,71.54
1700946000,71.54,71.76,71.54,71.68
1700949600,71.69,71.89,71.64,71.78
1700953200,71.78,71.88,71.6,71.87
1700956800,71.87,71.87,71.57,71.68
1700960400,71.69,71.69,71.21,71.29
1700964000,71.28,71.54,71.14,71.53
1700967600,71.52,71.72,71.42,71.46
1700971200,71.45,71.56,71.3,71.52
1700974800,71.5,71.57,71.33,71.39
1700978400,71.38,71.44,71.08,71.24
1700982000,71.23,71.32,71.15,71.25
1700985600,71.25,71.28,70.92,71
1700989200,71,71.06,70.83,70.98
1700992800,70.99,71.06,70.84,70.85
1700996400,70.85,71.04,70.8,70.83
1701000000,70.84,70.9,70.45,70.88
1701003600,70.88,70.88,70.48,70.8
1701007200,70.79,70.79,70.05,70.23
1701010800,70.23,70.58,70.15,70.23
1701014400,70.22,70.3,68.91,69.54
1701018000,69.53,69.85,69.41,69.77
1701021600,69.78,69.95,69.52,69.64
1701025200,69.65,69.78,69.47,69.68
1701028800,69.69,70.19,69.62,70.07
1701032400,70.06,70.15,69.8,70.11
1701036000,70.12,70.3,70.08,70.22
1701039600,70.22,70.26,70,70.03
1701043200,70.03,70.46,70,70.44
1701046800,70.43,70.5,69.9,69.98
1701050400,69.98,70,69.3,69.5
1701054000,69.5,69.57,68.98,69.43
1701057600,69.44,69.72,69.4,69.72
1701061200,69.72,69.87,69.63,69.75
1701064800,69.76,70.07,69.68,69.71
1701068400,69.7,69.91,69.05,69.73
1701072000,69.73,69.98,69.54,69.59
1701075600,69.58,70,69.52,69.53
1701079200,69.53,69.53,68.5,68.77
1701082800,68.77,68.88,68.42,68.62
1701086400,68.61,69.01,68.51,68.74
1701090000,68.73,69.04,68.49,68.89
1701093600,68.89,69,68.17,68.39
1701097200,68.38,68.95,68.32,68.36
1701100800,68.36,68.94,68.26,68.93
1701104400,68.94,69.09,68.62,68.62
1701108000,68.63,68.93,68.61,68.61
1701111600,68.62,68.88,67.91,68.4
1701115200,68.4,68.61,68.13,68.31
1701118800,68.32,68.92,68.24,68.85
1701122400,68.85,69.01,68.75,69.01
1701126000,69.01,69.32,69.01,69.22
1701129600,69.22,69.4,69.09,69.25
1701133200,69.28,69.29,68.95,68.95
1701136800,68.94,68.99,68.66,68.9
1701140400,68.9,68.98,68.71,68.79
1701144000,68.8,68.92,68.6,68.68
1701147600,68.69,68.73,67.81,68.14
1701151200,68.14,68.35,67.98,68.33
1701154800,68.34,68.4,68.01,68.22
1701158400,68.23,68.36,68.08,68.11
1701162000,68.11,69.07,68.06,68.94
1701165600,68.94,68.96,68.77,68.93
1701169200,68.93,69.18,68.83,69.15
1701172800,69.15,69.18,68.49,68.68
1701176400,68.69,69.18,68.54,69.14
1701180000,69.14,69.18,68.82,68.96
1701183600,68.96,69.24,68.77,69.03
1701187200,69.03,69.95,69.02,69.73
1701190800,69.71,70.27,69.57,70.03
1701194400,70.02,70.08,69.57,69.75
1701198000,69.75,70.09,69.62,69.9
1701201600,69.9,70.07,69.8,69.99
1701205200,69.99,70.06,69.72,69.72
1701208800,69.73,69.88,69.44,69.6
1701212400,69.6,69.78,69.43,69.77
1701216000,69.76,69.91,69.46,69.91
1701219600,69.91,70.06,69.88,69.9
1701223200,69.9,69.95,69.64,69.65
1701226800,69.64,69.76,69.47,69.72
1701230400,69.72,69.76,69.65,69.74
1701234000,69.74,69.79,69.56,69.73
1701237600,69.72,70.07,69.68,70.07
1701241200,70.06,70.07,69.79,69.96
1701244800,69.97,70.36,69.78,70.3
1701248400,70.29,70.46,69.97,70.24
1701252000,70.24,70.3,69.45,69.66
1701255600,69.65,69.88,69.58,69.8
1701259200,69.79,69.89,69.59,69.75
1701262800,69.76,69.93,69.54,69.78
1701266400,69.78,70,69.46,69.72
1701270000,69.7,69.82,69.25,69.61
1701273600,69.6,69.68,69.15,69.51
1701277200,69.51,69.93,69.36,69.81
1701280800,69.81,69.95,69.69,69.85
1701284400,69.85,69.93,69.68,69.83
1701288000,69.82,69.83,69.52,69.63
1701291600,69.64,69.9,69.48,69.87
1701295200,69.88,69.99,69.87,69.94
1701298800,69.94,70.05,69.88,70
1701302400,69.99,70.15,69.95,69.96
1701306000,69.96,69.96,69.66,69.67
1701309600,69.68,70,69.53,69.95
1701313200,69.96,70.04,69.76,70
1701316800,70,70.1,69.77,69.81
1701320400,69.8,69.88,69.6,69.7
1701324000,69.69,69.94,69.67,69.91
1701327600,69.92,69.94,69.57,69.6
1701331200,69.6,69.63,69.15,69.35
1701334800,69.35,69.54,69.22,69.51
1701338400,69.51,69.64,69.44,69.47
1701342000,69.47,69.65,69.42,69.61
1701345600,69.62,69.69,69.55,69.67
1701349200,69.68,69.68,69.25,69.43
1701352800,69.43,69.46,69.11,69.35
1701356400,69.36,69.51,69.15,69.3
1701360000,69.3,69.4,69.12,69.39
1701363600,69.39,69.53,69.35,69.51
1701367200,69.5,69.56,69.39,69.42
1701370800,69.41,69.47,69.3,69.37
1701374400,69.36,69.43,69.28,69.3
1701378000,69.3,69.44,69.24,69.4
1701381600,69.4,69.58,69.34,69.39
1701385200,69.38,69.45,69.26,69.42
1701388800,69.44,69.46,69.2,69.27
