time,open,high,low,close
2023-10-01T00:00:00Z,2.083,2.086,2.077,2.085
2023-10-01T00:15:00Z,2.085,2.09,2.085,2.088
2023-10-01T00:30:00Z,2.088,2.094,2.081,2.092
2023-10-01T00:45:00Z,2.091,2.097,2.09,2.096
2023-10-01T01:00:00Z,2.097,2.1,2.089,2.089
2023-10-01T01:15:00Z,2.089,2.096,2.089,2.094
2023-10-01T01:30:00Z,2.094,2.094,2.092,2.094
2023-10-01T01:45:00Z,2.094,2.097,2.093,2.094
2023-10-01T02:00:00Z,2.094,2.098,2.092,2.092
2023-10-01T02:15:00Z,2.093,2.097,2.092,2.094
2023-10-01T02:30:00Z,2.094,2.096,2.084,2.092
2023-10-01T02:45:00Z,2.093,2.096,2.087,2.088
2023-10-01T03:00:00Z,2.089,2.093,2.088,2.091
2023-10-01T03:15:00Z,2.091,2.095,2.09,2.092
2023-10-01T03:30:00Z,2.092,2.096,2.092,2.096
2023-10-01T03:45:00Z,2.096,2.099,2.095,2.097
2023-10-01T04:00:00Z,2.099,2.1,2.093,2.093
2023-10-01T04:15:00Z,2.093,2.098,2.093,2.095
2023-10-01T04:30:00Z,2.096,2.096,2.093,2.093
2023-10-01T04:45:00Z,2.093,2.1,2.093,2.1
2023-10-01T05:00:00Z,2.101,2.113,2.099,2.112
2023-10-01T05:15:00Z,2.112,2.134,2.108,2.128
2023-10-01T05:30:00Z,2.127,2.141,2.123,2.123
2023-10-01T05:45:00Z,2.123,2.124,2.116,2.118
2023-10-01T06:00:00Z,2.119,2.124,2.119,2.123
2023-10-01T06:15:00Z,2.123,2.131,2.12,2.123
2023-10-01T06:30:00Z,2.122,2.131,2.121,2.129
2023-10-01T06:45:00Z,2.129,2.137,2.129,2.129
2023-10-01T07:00:00Z,2.129,2.138,2.129,2.136
2023-10-01T07:15:00Z,2.137,2.137,2.122,2.122
2023-10-01T07:30:00Z,2.122,2.125,2.115,2.116
2023-10-01T07:45:00Z,2.116,2.119,2.112,2.112
2023-10-01T08:00:00Z,2.113,2.115,2.107,2.112
2023-10-01T08:15:00Z,2.111,2.121,2.109,2.119
2023-10-01T08:30:00Z,2.119,2.121,2.118,2.12
2023-10-01T08:45:00Z,2.122,2.123,2.118,2.12
2023-10-01T09:00:00Z,2.121,2.123,2.119,2.121
2023-10-01T09:15:00Z,2.121,2.126,2.12,2.124
2023-10-01T09:30:00Z,2.124,2.127,2.123,2.126
2023-10-01T09:45:00Z,2.127,2.135,2.126,2.132
2023-10-01T10:00:00Z,2.133,2.146,2.13,2.135
2023-10-01T10:15:00Z,2.136,2.137,2.129,2.13
2023-10-01T10:30:00Z,2.129,2.133,2.125,2.132
2023-10-01T10:45:00Z,2.132,2.137,2.131,2.136
2023-10-01T11:00:00Z,2.137,2.143,2.133,2.143
2023-10-01T11:15:00Z,2.142,2.145,2.14,2.141
2023-10-01T11:30:00Z,2.141,2.147,2.141,2.145
2023-10-01T11:45:00Z,2.146,2.146,2.133,2.133
2023-10-01T12:00:00Z,2.133,2.134,2.121,2.121
2023-10-01T12:15:00Z,2.121,2.127,2.117,2.123
2023-10-01T12:30:00Z,2.123,2.127,2.119,2.125
2023-10-01T12:45:00Z,2.126,2.132,2.125,2.13
2023-10-01T13:00:00Z,2.13,2.132,2.121,2.121
2023-10-01T13:15:00Z,2.122,2.123,2.118,2.122
2023-10-01T13:30:00Z,2.122,2.128,2.118,2.125
2023-10-01T13:45:00Z,2.125,2.132,2.125,2.13
2023-10-01T14:00:00Z,2.129,2.139,2.129,2.136
2023-10-01T14:15:00Z,2.137,2.142,2.136,2.14
2023-10-01T14:30:00Z,2.14,2.14,2.11,2.116
2023-10-01T14:45:00Z,2.114,2.119,2.11,2.114
2023-10-01T15:00:00Z,2.114,2.12,2.111,2.12
2023-10-01T15:15:00Z,2.121,2.131,2.12,2.129
2023-10-01T15:30:00Z,2.129,2.135,2.125,2.133
2023-10-01T15:45:00Z,2.134,2.137,2.131,2.132
2023-10-01T16:00:00Z,2.132,2.139,2.13,2.138
2023-10-01T16:15:00Z,2.139,2.14,2.132,2.139
2023-10-01T16:30:00Z,2.139,2.141,2.129,2.13
2023-10-01T16:45:00Z,2.13,2.136,2.128,2.135
2023-10-01T17:00:00Z,2.134,2.146,2.134,2.144
2023-10-01T17:15:00Z,2.145,2.146,2.137,2.14
2023-10-01T17:30:00Z,2.138,2.14,2.127,2.127
2023-10-01T17:45:00Z,2.129,2.13,2.121,2.123
2023-10-01T18:00:00Z,2.124,2.129,2.119,2.128
2023-10-01T18:15:00Z,2.127,2.131,2.126,2.127
2023-10-01T18:30:00Z,2.128,2.133,2.128,2.129
2023-10-01T18:45:00Z,2.129,2.129,2.125,2.128
2023-10-01T19:00:00Z,2.127,2.131,2.125,2.128
2023-10-01T19:15:00Z,2.128,2.133,2.128,2.13
2023-10-01T19:30:00Z,2.13,2.132,2.127,2.128
2023-10-01T19:45:00Z,2.13,2.13,2.115,2.117
2023-10-01T20:00:00Z,2.116,2.124,2.099,2.122
2023-10-01T20:15:00Z,2.122,2.125,2.118,2.121
2023-10-01T20:30:00Z,2.12,2.122,2.113,2.122
2023-10-01T20:45:00Z,2.122,2.125,2.121,2.125
2023-10-01T21:00:00Z,2.124,2.129,2.122,2.125
2023-10-01T21:15:00Z,2.125,2.129,2.124,2.127
2023-10-01T21:30:00Z,2.126,2.128,2.126,2.128
2023-10-01T21:45:00Z,2.128,2.13,2.126,2.128
2023-10-01T22:00:00Z,2.13,2.131,2.125,2.129
2023-10-01T22:15:00Z,2.129,2.173,2.129,2.161
2023-10-01T22:30:00Z,2.165,2.191,2.165,2.169
2023-10-01T22:45:00Z,2.169,2.183,2.162,2.182
2023-10-01T23:00:00Z,2.181,2.185,2.171,2.178
2023-10-01T23:15:00Z,2.178,2.181,2.168,2.17
2023-10-01T23:30:00Z,2.17,2.175,2.163,2.169
2023-10-01T23:45:00Z,2.171,2.177,2.168,2.17
